Jetz.tree.names	Lumped	nSamples	Locus	Seq Model	Ngroups0.9	Ngroups0.8	Ngroups0.7	Ngroups.excluded0.9	Ngroups.excluded0.8	Ngroups.excluded0.7	stem.age	stem.95.lo	stem.95.hi	crown.age	crown.95.lo	crown.95.hi	Ngroups0.8_w0.2removed	crown.age_0.2removed	Ngroups0.8_w0.4removed	crown.age_0.4removed	range.size	prop.range.sampled	lat.mid	migratory.distance	elevation	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	CS_bio_01	CS_bio_02	CS_bio_03	CS_bio_04	CS_bio_05	CS_bio_06	CS_bio_07	CS_bio_08	CS_bio_09	CS_bio_10	CS_bio_11	CS_bio_12	CS_bio_13	CS_bio_14	CS_bio_15	CS_bio_16	CS_bio_17	CS_bio_18	CS_bio_19	PC1	PC2	PC1_var	PC2_var	MeanHandWingIndex	MeanTarsusLength	Dichromatism_presence	nSubspecies	Tarsus_var	Kipps_var	Published
Aphelocoma_unicolor	Aphelocoma-unicolor	13	ND2	HKY+I	3	4	4	0	0	0	5.766465796	1.9929	9.1581	3.32546708	1.8095	5.0351	3	3.32546708	3	3.32546708	148491.1	0.165	17.45	0	2118	15.1	12.8	72	1.185	24	6.1	17.6	16.1	14.3	16.6	13.3	1576	296	23	75	714	80	493	161	27	11	2	13	16	32	184	28	27	27	27	458	85	6	1	226	23	151	26	-1.556634825	-0.576765116	1.342523334	1.291581252	15.88440336	40.8	m	5	0.55405	19.22522217	y
Aratinga_solstitialis	Aratinga-solstitialis-jandaya-auricapillus	16	Cyt b	HKY+I	2	2	3	0	0	0	1.667063159	0.5579	2.8783	0.80709651	0.2851	1.447	2	0.80709651	2	0.80709651	3933395.47	0.521	-8.168333333	0	177	24.8	9.1	67	0.991	32.5	19.3	11.1	24.9	24.8	26.9	23.7	1504	262	36	61	682	123	321	472	31	23	3	10	33	44	128	30	32	31	30	59	8	3	0	22	8	11	18	-4.148892137	-0.72719843	3.998656993	3.638290149	42.4528552	14.632	m	4	3.34786	9.555254376	y
Arremon_brunneinucha	Arremon-brunneinucha	67	COII	GTR+I+G	10	11	11	2	2	3	7.253140563	4.9537	9.8594	3.996291474	2.7926	5.3328	13	3.996291474	12	3.996291474	620789.34	0.553	3.58	0	1708	17.8	10	77	0.656	24.8	10.7	13.3	18	17.2	18.8	16.6	2033	332	35	61	882	143	476	241	17	5	1	12	14	21	138	17	17	17	17	379	61	6	1	152	23	79	40	-2.807186151	0.148810838	2.624453606	2.742609907	7.543189902	29.096	m	10	0.98943	3.0180095	y
Arremon_assimilis	Arremon-torquatus-assimilis-atricapillus-basilicus-costaricensis-perijanus-phaeopleurus-phygas	86	ND2	GTR+I+G	9	10	10	1	1	1	13.38655611	9.0711	18.3728	5.633916178	3.7776	7.6183	11	5.633916178	10	5.633916178	536701.76	0.326	0.591875	0	2247	16.1	10.6	81	0.572	23.5	8.5	13.4	17	14.6	17.2	14.6	1176	182	32	55	489	125	416	161	20	8	1	13	16	25	135	20	19	20	19	159	24	3	1	65	15	52	17	-1.310937264	0.104949925	4.135263137	2.897248807	7.316206785	29.524125	m	14	1.694913547	9.217901117	y
Amphispiza_belli	Artemisiospiza-belli-nevadensis	41	Cyt b	GTR+G	4	6	6	1	1	1	2.443574634	0.792	4.4229	1.350886879	0.287	3.1824	4	1.350886879	3	1.350886879	1320859.1	0.309	36.135	501.4248269	1574	7.7	16.05	43	7.307	29.7	-8.4	37.2	0.7	16.4	18	-1.2	301	39	10	42	108	38	44	94	60	43	6	17	49	65629	391	95.5	60	60	65594	61	9	1	1	24.5	5	8	20	3.172883659	-0.982362273	1.047162691	0.810250331	16.68615559	20.187	m	5	0.945356667	5.82600817	y
Attila_spadiceus	Attila-spadiceus	108	Cyt b	GTR+G	3	3	4	0	0	0	2.147580937	0.8792	3.8562	1.17720885	0.513	2.0762	3	1.17720885	4	1.17720885	7290774.89	0.61	2.02	0	220	25.1	9.9	74	0.7795	31.6	17.6	13.6	25.6	24.5	26.5	22.9	2420.5	380.5	44	56	1009.5	168	517.5	410	17	7	1	11	13	22	140	17	17	17	17	409	72	8	0	177.5	34	97	84.5	-4.676175609	-0.147070624	2.997621508	4.47022062	16.43413203	23.724	m	12	3.92263	11.43126798	y
Aulacorhynchus_prasinus	Aulacorhynchus-prasinus	56	ND2	HKY+I	6	6	7	1	1	1	5.888153563	2.5553	10.1422	2.593855402	1.1864	4.3521	7	2.593855402	7	2.593855402	1010504.61	0.783	1.39	0	1440.5	19.25	9.9	77	0.657	26.15	12.4	13.3	19.45	18.9	20.2	17.95	2246.5	354	46	55	948.5	160	492.5	279.5	18	6.5	1	14	14	24	137.25	18	18	18	18	399	64	7	1	162.5	25	97	48.5	-3.238709545	0.287416451	2.316192019	3.155292687	13.69180594	31.876	m	17	5.70143	7.259747871	y
Automolus_ochrolaemus	Automolus-ochrolaemus	166	Cyt b	GTR+G	5	6	6	0	0	0	7.427913267	3.5658	11.8236	2.859383231	1.6866	4.142	6	2.859383231	5	2.859383231	6457983.96	0.502	0.6	0	538	23.7	10	75	0.73	30.6	17.1	13.3	24.1	23.4	25	22.4	2786	417	56	54	1121	203	559	515	16	7	1	13	13	24	137.5	16	16	16	16	399	67	8	0	171	28	84	90	-5.020715961	0.638350738	2.261580298	2.48666484	15.37925741	21.51	m	8	3.29	2.389702317	y
Basileuterus_belli	Basileuterus-belli	64	ND2	GTR+G	4	7	7	0	0	1	3.4649	2.263	4.7538	2.140040976	0.6739	4.4039	4	2.140040976	4	2.140040976	335326.57	0.448	19.645	0	2124	15.1	12.45	69	1.327	24.15	6.5	17.8	16.2	14.3	16.85	13.3	1329.5	285.5	10	88.5	750.5	45	465	59	24.5	8	1	17	20	26	183.5	24	24	25.5	24	470.5	92.5	3	1	235	15.5	151	19.5	-1.272172848	-0.835669522	1.322727531	1.393309711	14.70496767	21.656	m	5	0.34253	1.168569272	y
Basileuterus_culicivorus	Basileuterus-culicivorus	117	Cyt b	GTR+I+G	7	8	8	1	2	3	5.458	4.0911	7.0047	4.881084149	4.1939	5.5168	9	4.881084149	9	4.881084149	8422149.19	0.721	-4.885	0	759	21.2	10.3	67	1.476	29.3	13.1	15.5	22.2	19.7	23.2	19	1755	282	40	55	758	150	477	211	25	12	2	11	16	33	163	24	25	24	25	333	49	7	0	135	26	85	38	-2.949384029	-0.190672493	2.360185265	2.522823382	14.0706268	19.123	m	14	0.700023333	3.774502204	y
Basileuterus_tristriatus	Basileuterus-tristriatus-trifasciatus	215	ND2	GTR+G	11	11	12	1	1	1	5.5692	4.0819	7.1364	0.374011861	1.6975	3.535	12	0.374011861	11	0.374011861	498978.18	0.876	-4.275	0	1708.5	18.4	10.3	82	0.507	24.75	12	12.8	18.6	18.1	18.9	17.5	1912.5	270.5	51	52	743	198	434	361	17	5	1	12	14	20	130	17	17	17	17	204.5	28	5	1	82	18	52.5	31	-2.971243317	0.40730717	2.906498762	3.761608834	14.20197899	20.916	m	13	0.617915556	9.680062707	y
Calidris_ptilocnemis	Calidris-ptilocnemis	58	Cyt b	HKY	2	3	5	1	1	1	1.62836113	0.4011	2.8146	0.261873292	0.0867	0.5023	4	0.261873291	3	0.261873291	197561.06	0.194	53.615	3311.867168	9	-1.9	6	22	8.212	12.8	-15.5	28.3	6.3	-2.1	8.4	-11.3	633	87	23	39	226	82	213	88	51	137	23	13	6	65655	360	50	65588	52	65587	99	16	4	1	43	14	37	14	3.588136787	2.887412433	1.695537832	0.142204972	45.85786012	21.64	m	4	1.2378	1.876010011	y
Campylorhynchus_brunneicapillus	Campylorhynchus-brunneicapillus	60	ND2	HKY+I	2	2	2	0	0	0	3.456564487	1.8473	5.3758	2.383838627	0.9651	3.9542	2	2.383838627	2	2.383838627	1849569.89	0.814	29	0	789	18.8	16.3	46	7.047	36.1	2.5	35.1	24.2	21.2	27.6	11	327	61	4	62	155	21	120	74	91	24	4	17	74	109	364	92	92	92	91	56	10	1	1	23	4	17	10	0.775069303	-3.13881663	0.403941781	0.403348901	14.6089695	27.636	m	7	2.29583	2.221374864	y
Campylorhynchus_rufinucha	Campylorhynchus-rufinucha	35	ND2	GTR+G	4	5	5	0	0	0	4.754743688	2.9746	6.5929	2.434280966	1.3518	3.6284	4	2.434280966	4	2.434280966	229234.65	0.885	14.515	0	372.5	24.7	10.7	75	0.801	32.9	17.6	14.6	24.8	24.45	25.9	23.5	1757.5	355	4	88	919	21	320	183.5	16	5	1	11	14	20	150.5	16	16	16	16	211.5	42.5	1	1	108.5	3	41	23	-3.660697344	-2.545103073	1.081064741	1.737529504	11.61071041	23.574	m	7	7.63418	5.961955599	y
Thryothorus_nigricapillus	Cantorchilus-nigricapillus	19	ATP8&6	GTR+I	3	3	3	0	0	0	5.163071044	3.4479	7.0601	2.076504765	1.3119	2.9364	3	2.076504765	3	2.076504765	302542.44	0.31	5.47	0	374.5	24.5	8.9	77	0.6445	30.35	19.45	11.4	24.4	24.8	25.35	23.75	3066	452.5	77.5	48	1222	280.5	613.5	894	15	5.5	1	10	12	18	117.5	15	15	15	15	366	44	9	0	119	35	64	105.5	-5.868974796	1.559393299	2.16644866	5.070661447	9.800210393	23.072	m	7	0.10342	13.16473051	y
Capito_wallacei	Capito-wallacei	18	Cyt b	HKY	2	2	3	0	0	0	4.217832107	3.0522	5.3835	0.509852087	0.2713	0.7701	2	0.509852087	2	0.509852087	2283.75	1	-8.86	0	1030	22.7	12.6	84	0.539	30.3	14.6	15	22.6	22.1	23.5	22.1	1955	221	88	27	607	303	533	340	23	10	1	6	17	29	155	23	23	23	23	105	12	6	0	32	20	26	22	-3.664983963	-0.132729499	0.152555056	0.139142811	16.28066764	25.348	d	2	0.40582	1.01144907	y
Wilsonia_pusilla	Cardellina-pusilla	33	Cyt b	HKY+I+G	2	2	2	0	0	0	4.2182	3.0326	5.4658	2.946267873	1.4283	4.7464	2	2.946267872	2	2.946267872	7956750.38	0.442	39.005	4383.887254	399	7.7	11.4	41	6.166	23.2	-5.7	29.5	6.5	14.4	15.3	0.1	789	136	17	57	362	70	111	339	39	18	4	20	32	65559	293.5	44	45	40	65493	292	46	3	1	124	12	18	105	1.558453181	0.756868518	4.374744966	2.867624405	20.64496063	17.434	d	3	1.78793	3.495144367	y
Ergaticus_ruber	Cardellina-rubra-versicolor	81	ND2	HKY+G	2	3	3	0	0	0	3.0143	2.0343	4.0398	0.88469391	0.4435	1.3437	3	0.884693909	3	0.884693909	250289.73	0.517	18.4625	0	2581	12.9	12.9	70	1.317	22.1	2.9	18.5	14.1	11.7	14.7	10.8	1249	264	10	89	684	43	385	55	28	8	1	17	26	28	187.5	28	28	28	28	412	83	3	1	214	12	135	18	-0.478438385	-0.802177807	0.924653689	1.038489514	18.10329138	18.611	m	4	2.695654444	5.775307951	y
Cardinalis_cardinalis	Cardinalis-cardinalis	162	ND2	GTR+G	4	5	5	0	0	0	6.99018933	3.6608	10.5836	2.745537101	1.3999	4.1621	5	2.745537101	4	2.745537101	5852536.52	0.879	31.495	0	185	11.3	11.8	32	8.739	29.9	-6.8	36.2	20.2	0.6	22.5	-0.5	1064	112	64	16	312	214	294	223	217	77	12	18	187	65781	394.5	217	253	217	65730	254	27	15	0	76	49	73	52	1.483005849	1.230100686	1.549965456	1.131346876	14.13464041	23.256	d	18	4.74793	4.116373407	y
Catharus_fuscater	Catharus-fuscater	69	ND2	GTR+G	8	8	8	1	1	1	7.834667114	4.9215	10.3522	3.924684322	2.5757	5.2216	9	3.924684322	9	3.924684322	261312.39	0.664	-3.485	0	1645	17.9	9.9	80	0.572	24.6	11.9	12.6	17.9	17.8	18.6	17.2	2557	387	46	51	1031	177	490	440	15	4	1	12	14	17	128.5	15	15	15	15	224	28	6	1	81	20	52	33	-3.536141299	0.775179635	3.675990824	3.135342268	13.8367259	34.26	m	7	1.29705	1.753590584	y
Catharus_occidentalis	Catharus-occidentalis	28	ND2	HKY	1	1	1	0	0	0	3.045319444	1.6002	4.4823	0.315321379	0.1528	0.5295	1	0.315321379	1	0.315321379	414625.23	0.466	22.975	0	2337	14.8	13.4	69	1.71	24.5	4.5	19.9	15.95	13.55	16.75	12.2	1229.5	260.5	9	92	691.5	40	329	51.5	32.5	9.5	1	18	35	29	201.5	33	32	33	33	429.5	94	3	1	237	14	130.5	19	-0.570993428	-1.301879443	1.373020724	0.979128969	19.47413471	33.076	m	4	3.93393	1.023579233	n
Pipra_erythrocephala	Ceratopipra-chloromeros-mentalis-erythrocephala-rubrocapilla	72	ND2	GTR+G	4	4	4	0	0	0	5.441362315	3.0722	7.766	2.212220031	1.3138	3.1703	4	2.212220031	4	2.212220031	7915259.9	0.435	-3.09	0	206	25.2	9.3	75	0.737	31.5	18.5	13	25.6	25	26.5	23.75	2391.5	347	56	53	957	197	511.5	450	19	16	2.5	11	12	32	139.5	19.5	20	19	19	441.5	65.5	8	0	171	36	94.5	94	-4.895130382	0.013847029	2.444099111	3.040605562	16.9350624	15.071	d	8	1.745009474	3.754285055	n
Certhia_americana	Certhia-americana	375	ND2	HKY+G	2	3	3	0	0	0	8.881953349	3.2378	16.1161	4.393037845	1.8661	7.8732	2	4.393037845	3	4.393037845	6545385.85	0.527	38.085	798.426237	514.5	7.2	12.1	40	6.949	25.1	-8.6	34.25	8.7	12.5	17	-2.2	957	120.5	21	47	335	87	145.5	270.5	81.5	28	6	17	52	65648.5	348.75	190.5	82	82	65598.5	420.5	58	5.5	0	161	23	31	124	2.16308364	0.656490802	2.001344523	2.444297791	19.24821634	13.852	m	13	0.56692	7.8342285	y
Chamaea_fasciata	Chamaea-fasciata	59	Cyt b	GTR+G	2	3	4	0	0	0	3.224449372	0.7749	6.468	0.432878056	0.1312	0.911	3	0.432878056	3	0.432878056	283646.85	0.877	38.105	0	266	14	13.1	52	4.095	27.95	3.35	25.05	9.3	19.35	20	9.1	631.5	124	2	87	334	10	15.5	326.5	29	6	1	14	33	28	247.5	29	30	30	29	328	65	0	1	176	4	7	172	0.351528162	-1.991796637	0.322850621	0.966765654	12.46472723	26.40857143	m	6	2.147714286	13.20242679	y
Charadrius_montanus	Charadrius-montanus	53	CR	HKY+G	3	5	5	0	0	0	7.321170875	4.2928	10.8171	1.766010022	0.9433	2.7929	4	1.766010022	4	1.766010022	758254.22	0.293	36.165	1313.901021	1545.5	9.6	17.3	39.5	8.8915	31.2	-11.3	43.1	19.15	-2.1	20.8	-2.1	352	63.5	7	66.5	168	25	152.5	25	116.5	132.5	14	10.5	48.5	65718	490.5	117	65650	116.5	65650	92.5	17	1	1	46	5	41.5	5	3.278586126	-1.659842414	0.192718199	0.476888093	52.52536742	35.62	m	1	5.3392	1.56397288	y
Charadrius_alexandrinus	Charadrius-nivosus	166	CR	HKY+G	1	1	1	0	0	0	5.388801612	1.1086	11.8563	1.81530733	0.6072	3.8305	1	1.81530733	1	1.81530733	1360095.76	0.828	2.36	1216.164688	174.5	15.65	14.55	44	7.2385	33.1	1.55	36.45	14.05	18.65	23.2	8.05	346	62	4	59.5	161.5	19.5	33.5	87	52	18.5	3	16	49.5	97	365	54	56.5	52.5	54	68.5	11	1	1	26.5	6	10.5	17	1.109375814	-2.034759577	1.820880909	1.840403667	52.05150473	22.724	m	2	1.42983	1.433675599	y
Chlorophanes_spiza	Chlorophanes-spiza	72	Cyt b	GTR+G	1	1	1	0	0	0	3.25773075	1.6152	4.8556	0.589621545	0.2927	0.938	1	0.589621545	1	0.589621545	7955975.65	0.558	-5.445	0	469	24	9.6	77	0.649	30.4	17.6	12.3	24.1	23.8	25	22.9	2792	409	65	49	1088	231	540	644	15	6	1	10	13	18	129	15	15	15	15	366	44	7	0	126	30	67	90	-5.148529061	0.67744877	2.063912432	3.219699601	22.6798609	18.382	d	7	0.98642	2.685698044	y
Chlorospingus_ophthalmicus	Chlorospingus-flavopectus-semifuscus-inornatus-tacarcunae	155	ATP8&6	GTR+I+G	14	14	14	1	1	1	9.077766833	3.7567	14.7697	5.175753754	3.3867	7.4894	15	5.175753753	15	5.175753753	618128.2	0.759	3.98	0	1581	18.2	10.1	76	0.704	25.3	10.8	13.6	18.7	17.4	19.5	16.7	2074	340	38	60	910	145	496	250	18	5	1	13	14	22	141	18	18	18	18	341	48	6	1	130	21	75	37	-2.821100631	0.145776325	3.043475548	2.781480467	15.39793122	23.441	m	32	8.548346316	7.080792703	y
Chrysomus_icterocephalus	Chrysomus-icterocephalus	48	ND2	GTR+I	1	1	1	0	0	0	3.151776178	1.4747	4.6186	0.296913253	0.149	0.4927	1	0.296913253	1	0.296913253	1582900.45	0.609	1.93	0	84.5	26.2	9.7	81	0.4785	31.55	20.5	11.6	26.3	25.8	26.7	25.3	1619.5	237	45	43	651	168.5	334	357.5	22	16	2	11	14	34	127.75	22	22	22	22	229.5	32	5	0	80	24.5	58	58	-4.119849298	-0.775598103	2.854045986	2.981763062	15.39376057	23.004	d	2	1.09153	4.801576113	y
Cinclodes_fuscus	Cinclodes-fuscus-olrogi-oustaleti-comechingonus-antarcticus-albidiventris-albiventris	62	ND3	HKY+I	4	10	10	1	2	2	3.348020154	1.7085	5.6427	2.016623859	0.7805	3.5816	3	2.016623859	3	2.016623859	3075452.16	0.7	-29.67928571	212.3817506	3702	6.6	14	70	1.828	16.3	-3.7	19.4	6.4	6.25	9	3.5	741	140.5	6	76	372	28	248	43	24	5	1	13.5	23	65562	198	24	25	24	25	81	14	1	1	39	5	26	6	1.64961311	-0.204044009	1.299740562	2.318239092	25.74870476	26.23695238	m	16	7.04908129	9.209681423	y
Colonia_colonus	Colonia-colonus	18	Cyt b	GTR+G	3	3	3	0	1	1	9.252890189	5.2233	13.5262	4.706078926	2.3566	6.964	3	4.706078926	3	4.706078926	6792607.05	0.325	-6.875	0	538	23.1	9.5	76	0.688	30	17.2	12.5	23.6	23.1	24.7	22.2	2656	362	82	42	985	288	563	555	16	8	1	13	13	22	129.5	16	16	16	16	279	40	7	0	110	30	64	47	-5.123134731	1.126401232	3.774999992	4.080829194	21.12527788	13.126	d	5	0.91178	5.426570345	y
Corvus_corax	Corvus-corax-cryptoleucus	44	Cyt b	HKY+G	4	6	7	1	1	1	4.719818311	1.953	8.177	2.883111409	0.8901	6.1373	4	2.883111408	3	2.883111408	16459038.73	0.356	38.5925	322.349162	703.5	11.1	14.4	42	7.5725	29.3	-5.7	36.4	14.3	14	20.1	2.3	497	86	10	57	230.5	40.5	141	133	98	57	9	15	65	65664	377.5	115	109	98	132	165	27	2	1	70	8	19	50	1.872009595	-1.2219064	1.950530796	4.185099807	43.43131054	62.985	m	9	13.47760556	6.760292943	y
Cranioleuca_antisiensis	Cranioleuca-antisiensis-baroni	177	ND2	HKY	2	3	5	0	0	0	0.367894526	0.1925	0.5799	0.277217489	0.1373	0.4203	3	0.277217489	2	0.277217489	135604.89	0.614	-6.9225	0	2939	12.45	13.8	83	0.629	20.35	3.3	16.8	12.85	11.5	13	11.5	893	145	16	56.5	370.5	63	319.5	74.5	21	4	1	14.5	17	24	168.25	20	20	20	20	31.5	5	1	1	12	3	12	3	-0.090747789	-0.552021221	1.505639292	1.045834341	15.04427309	21.59	m	5	3.453311111	11.15102443	n
Cyanerpes_caeruleus	Cyanerpes-caeruleus	39	Cyt b	GTR+G	2	2	2	0	0	0	3.932360212	1.9485	5.9194	1.473351184	0.7508	2.2912	2	1.473351184	2	1.473351184	6701810.05	0.543	-3.12	0	370	24.8	9.8	82	0.519	30.7	18.4	11.5	24.6	24.2	25.4	23.8	2607	325	87	41	924	292	619	432	21	17	2	12	13	32	130	21	21	21	20	136	20	4	0	56	13	46	21	-5.070323289	1.142079079	2.378957217	4.004373845	22.03005777	14.912	d	5	0.88397	0.4547631	y
Cyanocitta_stelleri	Cyanocitta-stelleri	213	ND2	HKY+G	4	4	5	0	0	0	3.866705027	1.7902	6.2854	3.061356038	1.3409	4.8702	4	3.061356038	4	3.061356038	3525068.89	0.874	37.225	0	671	10.1	12.8	44	5.7695	25.4	-1.4	28.4	5.5	16.2	16.95	3.6	799.5	147	12.5	62	401	53	82.5	372	40	20	4	20	32	65557	282.75	45.5	40	40	56	244	39	2	1	112	10	15	102	0.833975841	-0.376662912	2.040675606	1.726468238	13.54169187	39.532	m	16	1.95437	0.448302208	n
Cyanocompsa_cyanoides	Cyanocompsa-cyanoides	78	Cyt b	GTR+G	3	3	3	0	0	0	5.916260635	3.9582	8.1214	5.207775465	3.2037	7.1956	4	5.207775465	3	5.207775465	7838800.9	0.688	0.71	0	212	25	9.5	75	0.759	31.2	17.9	13	25.3	24.6	26.5	23.05	2743	446.5	56	57	1179.5	199.5	573.5	490	16	7	1	10	13	20	134.5	16	16	16	16	475	78.5	10	0	198.5	42.5	97.5	112	-5.172784575	0.271726868	2.27538778	3.293942836	15.46673038	17.71	d	4	0.51085	2.911323998	y
